Vacant −− > Census year: 2018 || Block ID: 56 || Property ID: 101204 || Base property ID: 101204 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.967255 || Y coordinate: -37.812439 || Location: (-37.81244193, 144.9672613) || 
Vacant −− > Census year: 2018 || Block ID: 15 || Property ID: 103326 || Base property ID: 103326 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.964935 || Y coordinate: -37.817188 || Location: (-37.81718671, 144.9649355) || 
Vacant −− > Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.966705 || Y coordinate: -37.816738 || Location: (-37.81674246, 144.966704) || 
Vacant −− > Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.966705 || Y coordinate: -37.816738 || Location: (-37.81674246, 144.966704) || 
Vacant −− > Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.966705 || Y coordinate: -37.816738 || Location: (-37.81674246, 144.966704) || 
Vacant −− > Census year: 2018 || Block ID: 85 || Property ID: 105746 || Base property ID: 105746 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.962753 || Y coordinate: -37.810902 || Location: (-37.81090175, 144.9627564) || 
Vacant −− > Census year: 2018 || Block ID: 35 || Property ID: 102145 || Base property ID: 102145 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.965408 || Y coordinate: -37.815479 || Location: (-37.81548376, 144.9654066) || 
Vacant −− > Census year: 2018 || Block ID: 44 || Property ID: 108110 || Base property ID: 108110 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961182 || Y coordinate: -37.815380 || Location: (-37.81537944, 144.9611759) || 
Vacant −− > Census year: 2018 || Block ID: 74 || Property ID: 108103 || Base property ID: 108103 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.959961 || Y coordinate: -37.812691 || Location: (-37.81268993, 144.959964) || 
Vacant −− > Census year: 2018 || Block ID: 16 || Property ID: 104018 || Base property ID: 104018 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.968536 || Y coordinate: -37.816601 || Location: (-37.81660267, 144.9685353) || 
Vacant −− > Census year: 2018 || Block ID: 36 || Property ID: 102153 || Base property ID: 102153 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.968155 || Y coordinate: -37.814640 || Location: (-37.81464243, 144.9681544) || 
